Well,Sample,Target,Task,Ct,Amplification Status,Threshold,Omit
A1,Standard-1,IL8,STANDARD,23.672922134399414,Amp,0.2,FALSE
A2,Standard-1,IL8,STANDARD,23.050134658813477,Amp,0.2,FALSE
A3,Standard-1,IL8,STANDARD,23.875347137451172,Amp,0.2,FALSE
A4,Sample-1,IL8,UNKNOWN,23.72132110595703,Amp,0.2,FALSE
A5,Sample-1,IL8,UNKNOWN,30.348573684692383,Amp,0.2,FALSE
A6,Sample-1,IL8,UNKNOWN,30.218475341796875,Amp,0.2,FALSE
A7,Sample-9,IL8,UNKNOWN,30.155441284179688,Amp,0.2,FALSE
A8,Sample-9,IL8,UNKNOWN,30.160419464111328,Amp,0.2,FALSE
A9,Sample-9,IL8,UNKNOWN,30.763702392578125,Amp,0.2,FALSE
B1,Standard-2,IL8,STANDARD,26.504005432128906,Amp,0.2,FALSE
B2,Standard-2,IL8,STANDARD,26.35220718383789,Amp,0.2,FALSE
B3,Standard-2,IL8,STANDARD,26.24846839904785,Amp,0.2,FALSE
B4,Sample-2,IL8,UNKNOWN,26.223487854003906,Amp,0.2,FALSE
B5,Sample-2,IL8,UNKNOWN,30.60767936706543,Amp,0.2,FALSE
B6,Sample-2,IL8,UNKNOWN,30.44037437438965,Amp,0.2,FALSE
B7,Sample-10,IL8,UNKNOWN,30.65665054321289,Amp,0.2,FALSE
B8,Sample-10,IL8,UNKNOWN,30.389070510864258,Amp,0.2,FALSE
B9,Sample-10,IL8,UNKNOWN,30.589717864990234,Amp,0.2,FALSE
C1,Standard-3,IL8,STANDARD,28.818748474121094,Amp,0.2,FALSE
C2,Standard-3,IL8,STANDARD,28.87449073791504,Amp,0.2,FALSE
C3,Standard-3,IL8,STANDARD,28.667381286621094,Amp,0.2,FALSE
C4,Sample-3,IL8,UNKNOWN,28.441627502441406,Amp,0.2,FALSE
C5,Sample-3,IL8,UNKNOWN,32.40768814086914,Amp,0.2,FALSE
C6,Sample-3,IL8,UNKNOWN,31.812767028808594,Amp,0.2,FALSE
C7,Sample-11,IL8,UNKNOWN,32.050357818603516,Amp,0.2,FALSE
C8,Sample-11,IL8,UNKNOWN,31.539148330688477,Amp,0.2,FALSE
C9,Sample-11,IL8,UNKNOWN,31.81789779663086,Amp,0.2,FALSE
D1,Standard-4,IL8,STANDARD,27.8696346282959,Amp,0.2,FALSE
D2,Standard-4,IL8,STANDARD,27.6146297454834,Amp,0.2,FALSE
D3,Standard-4,IL8,STANDARD,27.632793426513672,Amp,0.2,FALSE
D4,Sample-4,IL8,UNKNOWN,27.629112243652344,Amp,0.2,FALSE
D5,Sample-4,IL8,UNKNOWN,29.630157470703125,Amp,0.2,FALSE
D6,Sample-4,IL8,UNKNOWN,29.624595642089844,Amp,0.2,FALSE
D7,Sample-12,IL8,UNKNOWN,29.777101516723633,Amp,0.2,FALSE
D8,Sample-12,IL8,UNKNOWN,29.519018173217773,Amp,0.2,FALSE
D9,Sample-12,IL8,UNKNOWN,29.14903450012207,Amp,0.2,FALSE
E1,Standard-5,IL8,STANDARD,29.36363983154297,Amp,0.2,FALSE
E2,Standard-5,IL8,STANDARD,29.014972686767578,Amp,0.2,FALSE
E3,Standard-5,IL8,STANDARD,28.82892608642578,Amp,0.2,FALSE
E4,Sample-5,IL8,UNKNOWN,28.663368225097656,Amp,0.2,FALSE
E5,Sample-5,IL8,UNKNOWN,28.765743255615234,Amp,0.2,FALSE
E6,Sample-5,IL8,UNKNOWN,28.757564544677734,Amp,0.2,FALSE
F1,Standard-6,IL8,STANDARD,30.6085147857666,Amp,0.2,FALSE
F2,Standard-6,IL8,STANDARD,30.45075798034668,Amp,0.2,FALSE
F3,Standard-6,IL8,STANDARD,30.22580909729004,Amp,0.2,FALSE
F4,Sample-6,IL8,UNKNOWN,30.342851638793945,Amp,0.2,FALSE
F5,Sample-6,IL8,UNKNOWN,29.708412170410156,Amp,0.2,FALSE
F6,Sample-6,IL8,UNKNOWN,29.40557098388672,Amp,0.2,FALSE
G1,Standard-7,IL8,STANDARD,33.72267532348633,Amp,0.2,FALSE
G2,Standard-7,IL8,STANDARD,34.580379486083984,Amp,0.2,FALSE
G3,Standard-7,IL8,STANDARD,33.96967315673828,Amp,0.2,FALSE
G4,Sample-7,IL8,UNKNOWN,34.97386932373047,Amp,0.2,FALSE
G5,Sample-7,IL8,UNKNOWN,32.93902587890625,Amp,0.2,FALSE
G6,Sample-7,IL8,UNKNOWN,32.32521438598633,Amp,0.2,FALSE
H1,NTC,IL8,NTC,35.362327575683594,Amp,0.2,FALSE
H2,NTC,IL8,NTC,34.663429260253906,Amp,0.2,FALSE
H3,NTC,IL8,NTC,35.07524490356445,Amp,0.2,FALSE
H4,Sample-8,IL8,UNKNOWN,34.658531188964844,Amp,0.2,FALSE
H5,Sample-8,IL8,UNKNOWN,33.0148811340332,Amp,0.2,FALSE
H6,Sample-8,IL8,UNKNOWN,33.072818756103516,Amp,0.2,FALSE
