[Sample Setup],,,,,,,,,,,,
Well,Well Position,Sample Name,Sample Color,Biogroup Name,Biogroup Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity,Comments,Serum Percentage
1,A1,Standard-1,"rgb(33, 128, 223)",STANDARD,"#58595b",IL8,"rgb(0, 0, 255)",STANDARD,FAM,NFQ-MGB,2000,,
2,A2,Standard-1,"rgb(33, 128, 223)",STANDARD,"#58595b",IL8,"rgb(0, 0, 255)",STANDARD,FAM,NFQ-MGB,2000,,
3,A3,Standard-1,"rgb(33, 128, 223)",STANDARD,"#58595b",IL8,"rgb(0, 0, 255)",STANDARD,FAM,NFQ-MGB,2000,,
4,A4,Sample-1,"rgb(33, 128, 223)",UNKNOWN,"#2377b9",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
5,A5,Sample-1,"rgb(33, 128, 223)",UNKNOWN,"#2377b9",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
6,A6,Sample-1,"rgb(33, 128, 223)",UNKNOWN,"#2377b9",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
7,A7,Sample-9,"rgb(33, 128, 223)",UNKNOWN,"#2377b9",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
8,A8,Sample-9,"rgb(33, 128, 223)",UNKNOWN,"#2377b9",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
9,A9,Sample-9,"rgb(33, 128, 223)",UNKNOWN,"#2377b9",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
13,B1,Standard-2,"rgb(33, 128, 223)",STANDARD,"#6d6e70",IL8,"rgb(0, 0, 255)",STANDARD,FAM,NFQ-MGB,400,,
14,B2,Standard-2,"rgb(33, 128, 223)",STANDARD,"#6d6e70",IL8,"rgb(0, 0, 255)",STANDARD,FAM,NFQ-MGB,400,,
15,B3,Standard-2,"rgb(33, 128, 223)",STANDARD,"#6d6e70",IL8,"rgb(0, 0, 255)",STANDARD,FAM,NFQ-MGB,400,,
16,B4,Sample-2,"rgb(33, 128, 223)",UNKNOWN-2,"#f59332",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
17,B5,Sample-2,"rgb(33, 128, 223)",UNKNOWN-2,"#f59332",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
18,B6,Sample-2,"rgb(33, 128, 223)",UNKNOWN-2,"#f59332",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
19,B7,Sample-10,"rgb(33, 128, 223)",UNKNOWN-3,"#737dcc",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
20,B8,Sample-10,"rgb(33, 128, 223)",UNKNOWN-3,"#737dcc",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
21,B9,Sample-10,"rgb(33, 128, 223)",UNKNOWN-3,"#737dcc",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
25,C1,Standard-3,"rgb(33, 128, 223)",STANDARD,"#828384",IL8,"rgb(0, 0, 255)",STANDARD,FAM,NFQ-MGB,80,,
26,C2,Standard-3,"rgb(33, 128, 223)",STANDARD,"#828384",IL8,"rgb(0, 0, 255)",STANDARD,FAM,NFQ-MGB,80,,
27,C3,Standard-3,"rgb(33, 128, 223)",STANDARD,"#828384",IL8,"rgb(0, 0, 255)",STANDARD,FAM,NFQ-MGB,80,,
28,C4,Sample-3,"rgb(33, 128, 223)",UNKNOWN-2,"#f59332",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
29,C5,Sample-3,"rgb(33, 128, 223)",UNKNOWN-2,"#f59332",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
30,C6,Sample-3,"rgb(33, 128, 223)",UNKNOWN-2,"#f59332",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
31,C7,Sample-11,"rgb(33, 128, 223)",UNKNOWN,"#2377b9",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
32,C8,Sample-11,"rgb(33, 128, 223)",UNKNOWN,"#2377b9",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
33,C9,Sample-11,"rgb(33, 128, 223)",UNKNOWN,"#2377b9",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
37,D1,Standard-4,"rgb(33, 128, 223)",STANDARD,"#979799",IL8,"rgb(0, 0, 255)",STANDARD,FAM,NFQ-MGB,16,,
38,D2,Standard-4,"rgb(33, 128, 223)",STANDARD,"#979799",IL8,"rgb(0, 0, 255)",STANDARD,FAM,NFQ-MGB,16,,
39,D3,Standard-4,"rgb(33, 128, 223)",STANDARD,"#979799",IL8,"rgb(0, 0, 255)",STANDARD,FAM,NFQ-MGB,16,,
40,D4,Sample-4,"rgb(33, 128, 223)",UNKNOWN-2,"#f59332",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
41,D5,Sample-4,"rgb(33, 128, 223)",UNKNOWN-2,"#f59332",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
42,D6,Sample-4,"rgb(33, 128, 223)",UNKNOWN-2,"#f59332",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
43,D7,Sample-12,"rgb(33, 128, 223)",UNKNOWN,"#2377b9",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
44,D8,Sample-12,"rgb(33, 128, 223)",UNKNOWN,"#2377b9",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
45,D9,Sample-12,"rgb(33, 128, 223)",UNKNOWN,"#2377b9",IL8,"rgb(0, 0, 255)",UNKNOWN,FAM,NFQ-MGB,0,,10
